Data calculated via Fourier domain filtering

Frequency:	6.2831853

Number of harmonics used:	39

Number of cycles in input:	3

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

3.1861070	-5.4156886	-9.2633039	-0.4293743	0.7075033	-0.5613170	0.8570970	0.5151157	-0.0063588
3.1416939	-5.4415734	-16.5182256	-0.4868003	0.7979244	-0.3554463	0.8552332	0.5181810	-0.0080420
3.0970704	-5.4670939	-21.9904866	-0.5093904	0.8155791	-0.2745035	0.8498139	0.5269613	-0.0113237
3.0522397	-5.4922485	-25.5714886	-0.5416218	0.8062796	-0.2378214	0.8325923	0.5535425	-0.0195109
3.0072047	-5.5170355	-27.2590812	-0.6981884	0.6827991	-0.2152172	0.7077970	0.7034837	-0.0642962
2.9619685	-5.5414532	-27.1528345	0.2399597	-0.9457161	0.2191813	-0.9649480	-0.2570757	-0.0527964
2.9165339	-5.5655001	-25.4428895	0.3709971	-0.8973974	0.2388286	-0.9219416	-0.3867547	-0.0210821
2.8709042	-5.5891744	-22.3935220	0.3925686	-0.8792650	0.2697830	-0.9114020	-0.4112724	-0.0141949
2.8250823	-5.6124746	-18.3228876	0.3933574	-0.8603362	0.3241783	-0.9077438	-0.4193672	-0.0115027
2.7790713	-5.6353992	-13.5806249	0.3791469	-0.8246414	0.4197789	-0.9065074	-0.4220626	-0.0103646
2.7328743	-5.6579465	-8.5250445	0.3347522	-0.7321398	0.5932219	-0.9062839	-0.4225490	-0.0100880
2.6864944	-5.6801152	-3.5015413	0.1972558	-0.4451533	0.8734579	-0.9064238	-0.4222391	-0.0104914
2.6399347	-5.7019037	1.1763514	-0.0880660	0.1619973	0.9828536	-0.9064767	-0.4220950	-0.0116513
2.5931983	-5.7233106	5.2421707	-0.2808891	0.5759230	0.7677330	-0.9059112	-0.4232381	-0.0139476
2.5462883	-5.7443344	8.4872870	-0.3539282	0.7218272	0.5947271	-0.9036558	-0.4278607	-0.0184755
2.4992079	-5.7649737	10.7669322	-0.3958847	0.7681622	0.5031919	-0.8961495	-0.4427986	-0.0290759
2.4519602	-5.7852271	12.0016016	-0.4851493	0.7448060	0.4581421	-0.8554941	-0.5127297	-0.0723754
2.4045484	-5.8050933	12.1742982	0.0416595	-0.8986305	-0.4367238	0.9835954	0.1136701	-0.1400686
2.3569756	-5.8245710	11.3243603	0.2536777	-0.8376899	-0.4836561	0.9500134	0.3098432	-0.0383646
2.3092451	-5.8436588	9.5387942	0.2674289	-0.7914626	-0.5496078	0.9421302	0.3344440	-0.0231930
2.2613601	-5.8623555	6.9421059	0.2425482	-0.7008256	-0.6708307	0.9395975	0.3418390	-0.0173991
2.2133236	-5.8806598	3.6855977	0.1624024	-0.4793957	-0.8624414	0.9387799	0.3442098	-0.0145548
2.1651391	-5.8985705	-0.0630278	-0.0157142	0.0049157	-0.9998644	0.9386312	0.3446751	-0.0130573
2.1168096	-5.9160864	-4.1290958	-0.1988917	0.5120468	-0.8356137	0.9387103	0.3444862	-0.0123366
2.0683384	-5.9332063	-8.3389886	-0.2819303	0.7473406	-0.6016621	0.9387622	0.3443510	-0.0121630
2.0197288	-5.9499291	-12.5265828	-0.3135246	0.8371562	-0.4481873	0.9385795	0.3448380	-0.0124603
1.9709840	-5.9662537	-16.5381150	-0.3284589	0.8752995	-0.3549163	0.9379248	0.3465854	-0.0132531
1.9221073	-5.9821789	-20.2356761	-0.3388944	0.8929882	-0.2961802	0.9364410	0.3505182	-0.0146732
1.8731019	-5.9977038	-23.4996438	-0.3502868	0.9004811	-0.2577461	0.9334719	0.3582461	-0.0170286
1.8239712	-6.0128272	-26.2304097	-0.3674709	0.9006323	-0.2320056	0.9275733	0.3730499	-0.0210144
1.7747184	-6.0275481	-28.3497302	-0.3993578	0.8913459	-0.2145127	0.9147557	0.4030066	-0.0284203
1.7253468	-6.0418656	-29.8019473	-0.4734501	0.8575198	-0.2012582	0.8789971	0.4746663	-0.0453425
1.6758597	-6.0557787	-30.5551980	-0.7391332	0.6518247	-0.1697253	0.6714134	0.7331019	-0.1084695
1.6262604	-6.0692865	-30.6025846	-0.4313658	-0.8890405	0.1533965	-0.9006741	0.4145658	-0.1300821
1.5765523	-6.0823880	-29.9631334	-0.0042655	-0.9800468	0.1987209	-0.9986641	-0.0060587	-0.0513162
1.5267387	-6.0950825	-28.6822610	0.0888376	-0.9733187	0.2115624	-0.9946880	-0.0977802	-0.0321680
1.4768229	-6.1073689	-26.8313954	0.1240732	-0.9660257	0.2267161	-0.9908248	-0.1329548	-0.0242726
1.4268082	-6.1192467	-24.5064005	0.1396485	-0.9587625	0.2475335	-0.9885938	-0.1492332	-0.0202943
1.3766980	-6.1307148	-21.8245143	0.1458716	-0.9500045	0.2760670	-0.9874446	-0.1569123	-0.0182102
1.3264957	-6.1417726	-18.9196347	0.1464312	-0.9378257	0.3147076	-0.9869805	-0.1599079	-0.0172893
1.2762046	-6.1524193	-15.9359678	0.1426502	-0.9194574	0.3664000	-0.9869653	-0.1600044	-0.0172663
1.2258281	-6.1626542	-13.0202546	0.1346494	-0.8906745	0.4342447	-0.9872589	-0.1580869	-0.0181237
1.1753696	-6.1724766	-10.3130046	0.1217362	-0.8454981	0.5199166	-0.9877791	-0.1545629	-0.0200688
1.1248323	-6.1818859	-7.9393519	0.1027567	-0.7777368	0.6201343	-0.9884831	-0.1494695	-0.0236637
1.0742198	-6.1908814	-6.0002834	0.0767035	-0.6870218	0.7225770	-0.9893580	-0.1423140	-0.0302883
1.0235354	-6.1994626	-4.5650576	0.0420717	-0.5879110	0.8078308	-0.9903850	-0.1311897	-0.0438962
0.9727825	-6.2076288	-3.6656069	-0.0151086	-0.5101648	0.8599439	-0.9909032	-0.1073835	-0.0811151
0.9219645	-6.2153795	-3.2936046	-0.3658297	-0.4775655	0.7988115	-0.9215635	0.0660282	-0.3825715
0.8710847	-6.2227142	-3.4006762	-0.2422970	0.4389286	-0.8652363	0.9625109	0.2208190	-0.1575173
0.8201467	-6.2296325	-3.9019627	-0.1587887	0.5089910	-0.8459990	0.9810661	0.1775778	-0.0773012
0.7691537	-6.2361337	-4.6829271	-0.1453125	0.5825820	-0.7996765	0.9845054	0.1653240	-0.0584563
0.7181093	-6.2422176	-5.6089629	-0.1477062	0.6515832	-0.7440579	0.9853496	0.1618006	-0.0539148
0.6670168	-6.2478836	-6.5370538	-0.1596115	0.7054619	-0.6905416	0.9844351	0.1658718	-0.0580862
0.6158797	-6.2531315	-7.3284808	-0.1886457	0.7391697	-0.6465608	0.9799706	0.1844630	-0.0750398
0.5647013	-6.2579608	-7.8614086	-0.2850774	0.7398314	-0.6094098	0.9568607	0.2568822	-0.1357541
0.5134852	-6.2623713	-8.0421295	-0.9615439	-0.2430642	0.1278790	-0.2700033	0.7512644	-0.6022458
0.4622347	-6.2663626	-7.8138129	-0.1258703	-0.7775388	0.6161088	-0.9909750	0.0696873	-0.1145086
0.4109532	-6.2699345	-7.1618037	-0.0413380	-0.7529332	0.6567974	-0.9982137	0.0027438	-0.0596808
0.3596443	-6.2730867	-6.1148182	-0.0185302	-0.6984405	0.7154282	-0.9989865	-0.0164230	-0.0419076
0.3083112	-6.2758191	-4.7417708	-0.0131877	-0.6031963	0.7974837	-0.9991457	-0.0232908	-0.0341390
