Time	Creep Compliance
152.0	0.0001799828402
152.2	0.0001801193595
152.5	0.0001802852165
152.8	0.0001803446216
153.0	0.0001805817399
153.3	0.0001808128018
153.5	0.0001809324958
153.8	0.0001812690274
154.0	0.0001814942477
154.3	0.0001815386212
154.5	0.0001817116142
154.8	0.000181974085
155.0	0.0001820798063
155.3	0.0001823454953
155.6	0.000182466697
155.8	0.0001823752677
156.1	0.0001824798711
156.3	0.0001826434731
156.6	0.0001830117177
156.8	0.0001830703441
157.1	0.0001831065357
157.4	0.000183510389
157.6	0.0001838032342
157.9	0.0001838970911
158.1	0.000184044933
158.4	0.0001846058761
158.7	0.0001847527659
158.9	0.0001850231027
159.2	0.0001855204333
159.4	0.0001857183603
159.7	0.0001859970393
160.0	0.0001862736824
160.2	0.0001864016545
160.5	0.0001868192755
160.7	0.0001868861018
161.0	0.0001873065848
161.3	0.0001873695868
161.5	0.0001877318921
161.8	0.0001878317205
162.0	0.0001882428994
162.3	0.0001883729402
162.6	0.0001887426293
162.8	0.0001889206885
163.1	0.0001889073643
163.4	0.0001891382965
163.6	0.0001890574602
163.9	0.0001889154753
164.2	0.0001890730389
164.4	0.00018904661
164.7	0.0001888697193
165.0	0.0001892998516
165.2	0.0001894873012
165.5	0.0001895967492
165.8	0.0001897929739
166.0	0.0001903270013
166.3	0.000190728272
166.6	0.0001910135255
166.8	0.0001910616985
167.1	0.0001913074131
167.4	0.0001917204897
167.6	0.0001920136143
167.9	0.0001922945181
168.2	0.0001924310902
168.4	0.0001926801555
168.7	0.0001928487305
169.0	0.0001932315872
169.2	0.0001935259849
169.5	0.0001937180781
169.8	0.0001940654673
170.0	0.0001942312574
170.3	0.0001945262929
170.6	0.0001947199301
170.9	0.0001950641594
171.1	0.0001950923558
171.4	0.0001952078279
171.7	0.0001954642866
172.0	0.0001955221894
172.2	0.000195803897
172.5	0.0001961352253
172.8	0.0001962946418
173.0	0.0001966847133
173.3	0.000196984194
173.6	0.0001971866997
173.9	0.000197668235
174.1	0.0001978685222
174.4	0.0001979439302
174.7	0.0001984839384
175.0	0.0001988641489
175.2	0.0001987800054
175.5	0.0001990437232
175.8	0.000199209193
176.1	0.0001991833769
176.4	0.0001996844771
176.6	0.0001999178391
176.9	0.0002004042394
177.2	0.0002006301986
177.5	0.0002007139715
177.7	0.0002011832479
178.0	0.0002014855895
178.3	0.0002019157523
178.6	0.0002021997277
178.9	0.0002024262382
179.1	0.0002026524302
179.4	0.0002027544985
179.7	0.0002032043407
180.0	0.0002032056851
180.3	0.000203563686
180.5	0.0002037851987
180.8	0.000203796451
181.1	0.0002039417181
181.4	0.0002041927469
181.7	0.0002040487529
181.9	0.000204232497
182.2	0.0002045150875
182.5	0.0002044468982
182.8	0.0002043474912
183.1	0.0002046044158
183.4	0.0002047990693
183.7	0.000205238387
183.9	0.0002054423578
184.2	0.0002056247135
184.5	0.000206053046
184.8	0.0002061733555
185.1	0.000206308096
185.4	0.0002064062118
185.6	0.0002065881583
185.9	0.0002067176084
186.2	0.0002069986167
186.5	0.0002071638793
186.8	0.0002075035565
187.1	0.0002078370683
187.4	0.0002082546187
187.7	0.0002085916675
188.0	0.0002087462706
188.2	0.0002090622493
188.5	0.0002093842241
188.8	0.0002099503709
189.1	0.0002101818434
189.4	0.0002103312813
189.7	0.0002105829534
190.0	0.0002108939557
190.3	0.0002111188601
190.6	0.0002114772684
190.9	0.0002114084835
191.1	0.0002116172386
191.4	0.0002118882947
191.7	0.0002120155176
192.0	0.0002125248507
192.3	0.0002132094751
192.6	0.0002135370662
192.9	0.0002137999776
193.2	0.0002140155158
193.5	0.0002139798807
193.8	0.0002145432879
194.1	0.0002145882623
194.4	0.0002149574644
194.7	0.0002150630543
195.0	0.0002156720127
195.3	0.000215846028
195.6	0.000216364762
195.9	0.0002163901369
196.2	0.0002168690583
196.4	0.0002171244232
196.7	0.000217407593
197.0	0.0002176234257
197.3	0.0002176214406
197.6	0.000217858823
197.9	0.0002180518486
198.2	0.0002179436739
198.5	0.0002179298718
198.8	0.0002182775938
199.1	0.000218495689
199.4	0.0002185991034
199.7	0.0002187912044
200.0	0.0002193133698
200.3	0.0002196307634
200.6	0.0002197185445
200.9	0.0002199325231
201.2	0.0002199263207
201.5	0.0002198886714
201.9	0.0002200105015
202.2	0.0002202767333
202.5	0.0002204445334
202.8	0.0002207404946
203.1	0.0002209929074
203.4	0.0002211789394
203.7	0.0002214821098
204.0	0.0002216850871
204.3	0.0002219874385
204.6	0.0002224678798
204.9	0.000222814514
205.2	0.0002232856964
205.5	0.0002233963497
205.8	0.0002234968228
206.1	0.0002236580649
206.4	0.0002236250312
206.7	0.0002237258893
207.0	0.0002236918004
207.3	0.0002239568836
207.7	0.0002238114378
208.0	0.0002238336296
208.3	0.0002241420549
208.6	0.0002245590932
208.9	0.0002246677598
209.2	0.0002250463654
209.5	0.0002253122844
209.8	0.0002254882716
210.1	0.0002260866168
210.4	0.0002262681005
210.8	0.0002268016313
211.1	0.0002269366509
211.4	0.0002273823232
211.7	0.0002274563073
212.0	0.0002278049226
212.3	0.0002278874749
212.6	0.0002282500835
212.9	0.0002283816505
213.3	0.000228810221
213.6	0.0002289261397
213.9	0.0002291475523
214.2	0.000229393427
214.5	0.000229530207
214.8	0.0002298429477
215.2	0.0002301197947
215.5	0.0002304466265
215.8	0.0002305582987
216.1	0.0002308332969
216.4	0.0002313129697
216.7	0.0002315304829
217.1	0.0002317268028
217.4	0.0002319408165
217.7	0.0002321445482
218.0	0.0002324316881
218.3	0.0002327770359
218.7	0.0002330952826
219.0	0.0002334018977
219.3	0.0002335935367
219.6	0.0002337475189
219.9	0.0002339969345
220.3	0.0002343831371
220.6	0.0002346750997
220.9	0.0002349381638
221.2	0.00023515116
221.5	0.0002355621519
221.9	0.0002359432925
222.2	0.0002361893437
222.5	0.0002364040897
222.8	0.0002366279357
223.2	0.0002367388312
223.5	0.0002370687392
223.8	0.0002375199982
224.1	0.0002379452162
224.5	0.0002385382465
224.8	0.0002389994501
225.1	0.0002391534949
225.4	0.0002394891017
225.8	0.000239979537
226.1	0.0002400304237
226.4	0.0002405083816
226.7	0.000241032415
227.1	0.0002413120992
227.4	0.0002418189665
227.7	0.0002419162508
228.1	0.0002423640754
228.4	0.0002424512254
228.7	0.0002429286499
229.0	0.0002430037308
229.4	0.000243352034
229.7	0.0002435665912
230.0	0.0002440875618
230.4	0.0002443433507
230.7	0.000244281414
231.0	0.000244600313
231.4	0.0002447760833
231.7	0.0002447861938
232.0	0.0002449498837
232.4	0.0002449613754
232.7	0.0002448662381
233.0	0.0002451330651
233.4	0.0002455788251
233.7	0.0002457537113
234.0	0.0002458659355
234.4	0.0002459236341
234.7	0.0002460205197
235.0	0.0002461624914
235.4	0.0002465639655
235.7	0.0002467947816
236.1	0.0002470400471
